Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
176600,198900,222700,182900,243700,308600
176700,169700,208200,210500,236200,266800
177700,177800,169400,181900,173300,191400
177700,175300,172400,181600,204100,193200
177900,176200,199600,164300,196500,200600
178000,158800,175300,155600,178700,171700
178100,185300,187200,183600,187600,183700
178200,168900,184700,153200,184100,182700
178400,188300,160800,171700,168400,172800
178800,244900,159800,162900,184700,192600
178800,189000,173200,183400,177600,169500
179000,208600,210500,189500,217900,226400
179100,191800,207200,172400,196100,195600
179100,172300,181200,179500,183400,190200
179300,160100,182500,163700,162900,178200
179400,150000,184300,163000,176200,202900
179500,169000,168200,189000,185300,184600
179500,184700,200800,170300,199900,180800
179700,171800,165600,218400,231200,201100
179900,179500,190300,183400,192800,184300
180000,199800,196100,170100,185800,196800
180400,170100,159100,249400,230200,253200
180700,188500,174400,176900,183900,184000
180700,172100,175900,186900,184500,209300
180900,187500,214200,314500,305500,333800
181400,181100,192100,169000,177700,194300
181400,153000,156900,283900,256900,243800
181700,185900,192400,291200,304300,294200
181900,174200,172300,172200,177800,172900
182000,196500,200300,204000,198400,242800
182200,169100,184000,175300,176100,180700
182600,188400,185200,263500,279800,295700
182800,230900,213600,189000,203000,213000
182800,165100,196000,168600,153300,182900
183000,173400,196000,246400,278500,297400
183000,170300,185500,174700,229300,202800
183100,217300,195800,208900,197800,199100
183300,194100,190500,237200,251100,291500
183400,183800,179100,272600,239100,254900
183600,177700,182000,183500,186300,188200
183800,182200,189200,169700,193500,185500
184100,186200,191600,160300,195400,218500
184200,190300,187500,176000,192000,208100
184700,170600,195700,178200,189500,186900
184800,171100,182500,297600,272200,287300
